Suburb,Postcode,Lat,Lng
MILLCHESTER,4820,-20.082915,146.249367
MOSMAN PARK,4820,-20.082915,146.249367
QUEENTON,4820,-20.082915,146.249367
RICHMOND HILL,4820,-20.082915,146.249367
SEVENTY MILE,4820,-20.082915,146.249367
SOUTHERN CROSS,4820,-20.082915,146.249367
TOLL,4820,-20.082915,146.249367
TOWERS HILL,4820,-20.082915,146.249367
DUTTON RIVER,4821,-20.281399,143.87636
HUGHENDEN,4821,-20.281399,143.87636
PORCUPINE,4821,-20.281399,143.87636
STAMFORD,4821,-20.281399,143.87636
TANGORIN,4821,-20.281399,143.87636
ALBION,4822,-21.50903,142.69317
BELLFIELD,4822,-21.50903,142.69317
BURLEIGH,4822,-21.50903,142.69317
CAMBRIDGE,4822,-21.50903,142.69317
MAXWELTON,4822,-21.50903,142.69317
NONDA,4822,-21.50903,142.69317
RICHMOND,4822,-21.50903,142.69317
SAXBY,4822,-21.50903,142.69317
VICTORIA VALE,4822,-21.50903,142.69317
WOOLGAR,4822,-21.50903,142.69317
CARPENTARIA,4823,-18.127441,139.959459
JULIA CREEK,4823,-18.127441,139.959459
KYNUNA,4823,-18.127441,139.959459
MCKINLAY,4823,-18.127441,139.959459
STOKES,4823,-18.127441,139.959459
TALDORA,4823,-18.127441,139.959459
WARBURTON,4823,-18.127441,139.959459
CLONCURRY,4824,-20.704158,140.505319
FOUR WAYS,4824,-20.704158,140.505319
GIDYA,4824,-20.704158,140.505319
KURIDALA,4824,-20.704158,140.505319
OORINDI,4824,-20.704158,140.505319
THREE RIVERS,4824,-20.704158,140.505319
ALEXANDRIA,4825,-21.164318,149.098918
ALPURRURULAM,4825,-21.164318,149.098918
BARKLY,4825,-21.164318,149.098918
BREAKAWAY,4825,-21.164318,149.098918
BUCKINGHAM,4825,-21.164318,149.098918
CARRANDOTTA,4825,-21.164318,149.098918
DAJARRA,4825,-21.164318,149.098918
DUCHESS,4825,-21.164318,149.098918
FIELDING,4825,-21.164318,149.098918
FISHER,4825,-21.164318,149.098918
GEORGINA,4825,-21.164318,149.098918
GUNPOWDER,4825,-21.164318,149.098918
HAPPY VALLEY,4825,-21.164318,149.098918
HEALY,4825,-21.164318,149.098918
KALKADOON,4825,-21.164318,149.098918
LANSKEY,4825,-21.164318,149.098918
LAWN HILL,4825,-21.164318,149.098918
MENZIES,4825,-21.164318,149.098918
MICA CREEK,4825,-21.164318,149.098918
MILES END,4825,-21.164318,149.098918
MORNINGTON,4825,-21.164318,149.098918
MOUNT ISA,4825,-21.164318,149.098918
MOUNT ISA CITY,4825,-21.164318,149.098918
MOUNT ISA DC,4825,-21.164318,149.098918
MOUNT ISA EAST,4825,-21.164318,149.098918
PARKSIDE,4825,-21.164318,149.098918
PIONEER,4825,-21.164318,149.098918
PITURIE,4825,-21.164318,149.098918
RANKEN,4825,-21.164318,149.098918
RYAN,4825,-21.164318,149.098918
SOLDIERS HILL,4825,-21.164318,149.098918
SPREADBOROUGH,4825,-21.164318,149.098918
SUNSET,4825,-21.164318,149.098918
THE GAP,4825,-21.164318,149.098918
THE MONUMENT,4825,-21.164318,149.098918
TOWNVIEW,4825,-21.164318,149.098918
WAVERLEY,4825,-21.164318,149.098918
WINSTON,4825,-21.164318,149.098918
CAMOOWEAL,4828,-19.921773,138.119119
AMAROO,4829,-23.393865,139.673121
BEDOURIE,4829,-23.393865,139.673121
BOULIA,4829,-23.393865,139.673121
MIN MIN,4829,-23.393865,139.673121
STURT,4829,-23.393865,139.673121
TOKO,4829,-23.393865,139.673121
WARENDA,4829,-23.393865,139.673121
WILLS,4829,-23.393865,139.673121
BURKETOWN,4830,-17.741706,139.547865
DOOMADGEE,4830,-17.741706,139.547865
GREGORY,4830,-17.741706,139.547865
GREGORY DOWNS,4830,-17.741706,139.547865
NICHOLSON,4830,-17.741706,139.547865
CARDWELL,4849,-18.265652,146.027929
DAMPER CREEK,4849,-18.265652,146.027929
HINCHINBROOK,4849,-18.265652,146.027929
LUMHOLTZ,4849,-18.265652,146.027929
RUNGOO,4849,-18.265652,146.027929
ABERGOWRIE,4850,-18.474994,145.885791
ALLINGHAM,4850,-18.474994,145.885791
BAMBAROO,4850,-18.474994,145.885791
BEMERSIDE,4850,-18.474994,145.885791
BLACKROCK,4850,-18.474994,145.885791
BRAEMEADOWS,4850,-18.474994,145.885791
COOLBIE,4850,-18.474994,145.885791
CORDELIA,4850,-18.474994,145.885791
DALRYMPLE CREEK,4850,-18.474994,145.885791
FORESTHOME,4850,-18.474994,145.885791
FORREST BEACH,4850,-18.474994,145.885791
GAIRLOCH,4850,-18.474994,145.885791
GARRAWALT,4850,-18.474994,145.885791
HALIFAX,4850,-18.474994,145.885791
HAWKINS CREEK,4850,-18.474994,145.885791
HELENS HILL,4850,-18.474994,145.885791
INGHAM,4850,-18.474994,145.885791
LANNERCOST,4850,-18.474994,145.885791
LONG POCKET,4850,-18.474994,145.885791
LUCINDA,4850,-18.474994,145.885791
MACKNADE,4850,-18.474994,145.885791
MOUNT FOX,4850,-18.474994,145.885791
ORIENT,4850,-18.474994,145.885791
PEACOCK SIDING,4850,-18.474994,145.885791
TAYLORS BEACH,4850,-18.474994,145.885791
TOOBANNA,4850,-18.474994,145.885791
TREBONNE,4850,-18.474994,145.885791
UPPER STONE,4850,-18.474994,145.885791
VALLEY OF LAGOONS,4850,-18.474994,145.885791
VICTORIA ESTATE,4850,-18.474994,145.885791
VICTORIA PLANTATION,4850,-18.474994,145.885791
WALLAMAN,4850,-18.474994,145.885791
WHARPS,4850,-18.474994,145.885791
YURUGA,4850,-18.474994,145.885791
BINGIL BAY,4852,-17.830091,146.09996
CARMOO,4852,-17.830091,146.09996
DJIRU,4852,-17.830091,146.09996
DUNK,4852,-17.830091,146.09996
GARNERS BEACH,4852,-17.830091,146.09996
MIDGEREE BAR,4852,-17.830091,146.09996
MISSION BEACH,4852,-17.830091,146.09996
SOUTH MISSION BEACH,4852,-17.830091,146.09996
TAM O'SHANTER,4852,-17.830091,146.09996
WONGALING BEACH,4852,-17.830091,146.09996
BILYANA,4854,-18.119359,145.913114
BIRKALLA,4854,-18.119359,145.913114
BULGUN,4854,-18.119359,145.913114
CARDSTONE,4854,-18.119359,145.913114
DINGO POCKET,4854,-18.119359,145.913114
DJARAWONG,4854,-18.119359,145.913114
EAST FELUGA,4854,-18.119359,145.913114
EURAMO,4854,-18.119359,145.913114
FELUGA,4854,-18.119359,145.913114
HULL HEADS,4854,-18.119359,145.913114
JARRA CREEK,4854,-18.119359,145.913114
KOOROOMOOL,4854,-18.119359,145.913114
LOWER TULLY,4854,-18.119359,145.913114
MERRYBURN,4854,-18.119359,145.913114
MIDGENOO,4854,-18.119359,145.913114
MOUNT MACKAY,4854,-18.119359,145.913114
MUNRO PLAINS,4854,-18.119359,145.913114
MURRAY UPPER,4854,-18.119359,145.913114
MURRIGAL,4854,-18.119359,145.913114
ROCKINGHAM,4854,-18.119359,145.913114
SILKY OAK,4854,-18.119359,145.913114
TULLY,4854,-18.119359,145.913114
TULLY HEADS,4854,-18.119359,145.913114
WALTER HILL,4854,-18.119359,145.913114
WARRAMI,4854,-18.119359,145.913114
DAVESON,4855,-17.786658,146.021722
EL ARISH,4855,-17.786658,146.021722
FRIDAY POCKET,4855,-17.786658,146.021722
GRANADILLA,4855,-17.786658,146.021722
JAFFA,4855,-17.786658,146.021722
MAADI,4855,-17.786658,146.021722
MARIA CREEKS,4855,-17.786658,146.021722
SHELL POCKET,4855,-17.786658,146.021722
GOOLBOO,4856,-17.719188,146.026968
JAPOONVALE,4856,-17.719188,146.026968
MCCUTCHEON,4856,-17.719188,146.026968
NO 4 BRANCH,4856,-17.719188,146.026968
NO 5 BRANCH,4856,-17.719188,146.026968
SILKWOOD,4856,-17.719188,146.026968
WALTER LEVER ESTATE,4856,-17.719188,146.026968
SILKWOOD EAST,4857,-17.747122,146.019451
COMOON LOOP,4858,-17.566621,146.035946
ETTY BAY,4858,-17.566621,146.035946
MARTYVILLE,4858,-17.566621,146.035946
MOURILYAN,4858,-17.566621,146.035946
MOURILYAN HARBOUR,4858,-17.566621,146.035946
NEW HARBOURLINE,4858,-17.566621,146.035946
NO 6 BRANCH,4859,-17.596413,145.971405
SOUTH JOHNSTONE,4859,-17.596413,145.971405
BAMBOO CREEK,4860,-17.56422,145.996277
BELVEDERE,4860,-17.56422,145.996277
COCONUTS,4860,-17.56422,145.996277
COOROO LANDS,4860,-17.56422,145.996277
COORUMBA,4860,-17.56422,145.996277
COQUETTE POINT,4860,-17.56422,145.996277
CULLINANE,4860,-17.56422,145.996277
DARADGEE,4860,-17.56422,145.996277
EAST INNISFAIL,4860,-17.56422,145.996277
EAST PALMERSTON,4860,-17.56422,145.996277
EATON,4860,-17.56422,145.996277
EUBENANGEE,4860,-17.56422,145.996277
FITZGERALD CREEK,4860,-17.56422,145.996277
FLYING FISH POINT,4860,-17.56422,145.996277
GARRADUNGA,4860,-17.56422,145.996277
GOONDI,4860,-17.56422,145.996277
GOONDI BEND,4860,-17.56422,145.996277
GOONDI HILL,4860,-17.56422,145.996277
HUDSON,4860,-17.56422,145.996277
INNISFAIL,4860,-17.56422,145.996277
INNISFAIL ESTATE,4860,-17.56422,145.996277
JUBILEE HEIGHTS,4860,-17.56422,145.996277
MIGHELL,4860,-17.56422,145.996277
MUNDOO,4860,-17.56422,145.996277
NERADA,4860,-17.56422,145.996277
NGATJAN,4860,-17.56422,145.996277
O'BRIENS HILL,4860,-17.56422,145.996277
PALMERSTON,4860,-17.56422,145.996277
PIN GIN HILL,4860,-17.56422,145.996277
SOUTH INNISFAIL,4860,-17.56422,145.996277
STOTERS HILL,4860,-17.56422,145.996277
SUNDOWN,4860,-17.56422,145.996277
UPPER DARADGEE,4860,-17.56422,145.996277
VASA VIEWS,4860,-17.56422,145.996277
WANJURU,4860,-17.56422,145.996277
WEBB,4860,-17.56422,145.996277
WOOROONOORAN,4860,-17.56422,145.996277
BABINDA,4861,-17.344418,145.924815
BARTLE FRERE,4861,-17.344418,145.924815
EAST RUSSELL,4861,-17.344418,145.924815
GOLDSBOROUGH,4865,-17.152995,145.743914
GORDONVALE,4865,-17.152995,145.743914
GREEN HILL,4865,-17.152995,145.743914
KAMMA,4865,-17.152995,145.743914
LITTLE MULGRAVE,4865,-17.152995,145.743914
PACKERS CAMP,4865,-17.152995,145.743914
BAYVIEW HEIGHTS,4868,-16.962827,145.730429
MOUNT SHERIDAN,4868,-16.962827,145.730429
WHITE ROCK,4868,-16.962827,145.730429
WOREE,4868,-16.962827,145.730429
BENTLEY PARK,4869,-17.004072,145.738835
EDMONTON,4869,-17.004072,145.738835
MOUNT PETER,4869,-17.004072,145.738835
WRIGHTS CREEK,4869,-17.004072,145.738835
AEROGLEN,4870,-16.883938,145.746732
BARRON GORGE,4870,-16.883938,145.746732
BRINSMEAD,4870,-16.883938,145.746732
BUNGALOW,4870,-16.883938,145.746732
CAIRNS,4870,-16.883938,145.746732
CAIRNS CENTRAL,4870,-16.883938,145.746732
CAIRNS CITY,4870,-16.883938,145.746732
CAIRNS DC,4870,-16.883938,145.746732
CAIRNS MC,4870,-16.883938,145.746732
CAIRNS NORTH,4870,-16.883938,145.746732
CAIRNS ORCHID PLAZA,4870,-16.883938,145.746732
EARLVILLE,4870,-16.883938,145.746732
EARLVILLE BC,4870,-16.883938,145.746732
EDGE HILL,4870,-16.883938,145.746732
FRESHWATER,4870,-16.883938,145.746732
KAMERUNGA,4870,-16.883938,145.746732
KANIMBLA,4870,-16.883938,145.746732
LAMB RANGE,4870,-16.883938,145.746732
MANOORA,4870,-16.883938,145.746732
MANUNDA,4870,-16.883938,145.746732
MARTYNVALE,4870,-16.883938,145.746732
MOOROOBOOL,4870,-16.883938,145.746732
NORTH CAIRNS,4870,-16.883938,145.746732
PARRAMATTA PARK,4870,-16.883938,145.746732
PORTSMITH,4870,-16.883938,145.746732
REDLYNCH,4870,-16.883938,145.746732
STRATFORD,4870,-16.883938,145.746732
WESTCOURT,4870,-16.883938,145.746732
WHITFIELD,4870,-16.883938,145.746732
ABINGDON DOWNS,4871,-17.608738,143.185168
ALMADEN,4871,-17.608738,143.185168
ALOOMBA,4871,-17.608738,143.185168
AMBER,4871,-17.608738,143.185168
ARBOUIN,4871,-17.608738,143.185168
ARCHER RIVER,4871,-17.608738,143.185168
AURUKUN,4871,-17.608738,143.185168
BASILISK,4871,-17.608738,143.185168
BELLENDEN KER,4871,-17.608738,143.185168
BELLEVUE,4871,-17.608738,143.185168
BLACKBULL,4871,-17.608738,143.185168
BOLWARRA,4871,-17.608738,143.185168
BOMBEETA,4871,-17.608738,143.185168
BOOGAN,4871,-17.608738,143.185168
BRAMSTON BEACH,4871,-17.608738,143.185168
BULLERINGA,4871,-17.608738,143.185168
CAMP CREEK,4871,-17.608738,143.185168
CHILLAGOE,4871,-17.608738,143.185168
CLARAVILLE,4871,-17.608738,143.185168
COEN,4871,-17.608738,143.185168
CONJUBOY,4871,-17.608738,143.185168
CORALIE,4871,-17.608738,143.185168
COWLEY,4871,-17.608738,143.185168
COWLEY BEACH,4871,-17.608738,143.185168
COWLEY CREEK,4871,-17.608738,143.185168
CROYDON,4871,-17.608738,143.185168
CRYSTALBROOK,4871,-17.608738,143.185168
CURRAJAH,4871,-17.608738,143.185168
DEERAL,4871,-17.608738,143.185168
DESAILLY,4871,-17.608738,143.185168
DIXIE,4871,-17.608738,143.185168
EAST CREEK,4871,-17.608738,143.185168
EAST TRINITY,4871,-17.608738,143.185168
EDWARD RIVER,4871,-17.608738,143.185168
EINASLEIGH,4871,-17.608738,143.185168
ESMERALDA,4871,-17.608738,143.185168
FISHERY FALLS,4871,-17.608738,143.185168
FITZROY ISLAND,4871,-17.608738,143.185168
FORSAYTH,4871,-17.608738,143.185168
FOSSILBROOK,4871,-17.608738,143.185168
GAMBOOLA,4871,-17.608738,143.185168
GEORGETOWN,4871,-17.608738,143.185168
GERMANTOWN,4871,-17.608738,143.185168
GILBERT RIVER,4871,-17.608738,143.185168
GLEN BOUGHTON,4871,-17.608738,143.185168
GREEN ISLAND,4871,-17.608738,143.185168
GROGANVILLE,4871,-17.608738,143.185168
GUNUNA,4871,-17.608738,143.185168
HIGHBURY,4871,-17.608738,143.185168
HOLROYD RIVER,4871,-17.608738,143.185168
HURRICANE,4871,-17.608738,143.185168
JULATTEN,4871,-17.608738,143.185168
KARRON,4871,-17.608738,143.185168
KOWANYAMA,4871,-17.608738,143.185168
KURRIMINE BEACH,4871,-17.608738,143.185168
LAKEFIELD,4871,-17.608738,143.185168
LAKELAND,4871,-17.608738,143.185168
LAKELAND DOWNS,4871,-17.608738,143.185168
LAURA,4871,-17.608738,143.185168
LIZARD,4871,-17.608738,143.185168
LOCKHART,4871,-17.608738,143.185168
LOWER COWLEY,4871,-17.608738,143.185168
LYNDHURST,4871,-17.608738,143.185168
LYNDSIDE,4871,-17.608738,143.185168
MACALISTER RANGE,4871,-17.608738,143.185168
MARAMIE,4871,-17.608738,143.185168
MENA CREEK,4871,-17.608738,143.185168
MIRIWINNI,4871,-17.608738,143.185168
MORESBY,4871,-17.608738,143.185168
MORNINGTON ISLAND,4871,-17.608738,143.185168
MOUNT CARBINE,4871,-17.608738,143.185168
MOUNT MOLLOY,4871,-17.608738,143.185168
MOUNT MULGRAVE,4871,-17.608738,143.185168
MOUNT MULLIGAN,4871,-17.608738,143.185168
MOUNT SURPRISE,4871,-17.608738,143.185168
NORTHHEAD,4871,-17.608738,143.185168
NYCHUM,4871,-17.608738,143.185168
PALMER,4871,-17.608738,143.185168
PETFORD,4871,-17.608738,143.185168
PORMPURAAW,4871,-17.608738,143.185168
PORTLAND ROADS,4871,-17.608738,143.185168
RAVENSWORTH,4871,-17.608738,143.185168
RED RIVER,4871,-17.608738,143.185168
ROOKWOOD,4871,-17.608738,143.185168
SANDY POCKET,4871,-17.608738,143.185168
SOUTH WELLESLEY ISLANDS,4871,-17.608738,143.185168
SOUTHEDGE,4871,-17.608738,143.185168
SPRINGFIELD,4871,-17.608738,143.185168
STAATEN,4871,-17.608738,143.185168
STOCKTON,4871,-17.608738,143.185168
STRATHMORE,4871,-17.608738,143.185168
TALAROO,4871,-17.608738,143.185168
THORNBOROUGH,4871,-17.608738,143.185168
UTCHEE CREEK,4871,-17.608738,143.185168
WANGAN,4871,-17.608738,143.185168
WARRUBULLEN,4871,-17.608738,143.185168
WAUGH POCKET,4871,-17.608738,143.185168
WELLESLEY ISLANDS,4871,-17.608738,143.185168
WEST WELLESLEY ISLANDS,4871,-17.608738,143.185168
WOOPEN CREEK,4871,-17.608738,143.185168
WROTHAM,4871,-17.608738,143.185168
YAGOONYA,4871,-17.608738,143.185168
YARRABAH,4871,-17.608738,143.185168
YARRADEN,4871,-17.608738,143.185168
BARRINE,4872,-17.231966,145.62332
BARWIDGI,4872,-17.231966,145.62332
CAIRNS MC,4872,-17.231966,145.62332
DANBULLA,4872,-17.231966,145.62332
DIMBULAH,4872,-17.231966,145.62332
FORTY MILE,4872,-17.231966,145.62332
GLEN RUTH,4872,-17.231966,145.62332
GUNNAWARRA,4872,-17.231966,145.62332
INNOT HOT SPRINGS,4872,-17.231966,145.62332
KAIRI,4872,-17.231966,145.62332
KIRRAMA,4872,-17.231966,145.62332
KOOMBOOLOOMBA,4872,-17.231966,145.62332
KOWROWA,4872,-17.231966,145.62332
LAKE TINAROO,4872,-17.231966,145.62332
MINNAMOOLKA,4872,-17.231966,145.62332
MOUNT GARNET,4872,-17.231966,145.62332
MUNDERRA,4872,-17.231966,145.62332
MUTCHILBA,4872,-17.231966,145.62332
SILVER VALLEY,4872,-17.231966,145.62332
TINAROO,4872,-17.231966,145.62332
WAIRUNA,4872,-17.231966,145.62332
WALKAMIN,4872,-17.231966,145.62332
BAMBOO,4873,-16.372831,145.384849
BONNIE DOON,4873,-16.372831,145.384849
CAPE TRIBULATION,4873,-16.372831,145.384849
CASSOWARY,4873,-16.372831,145.384849
COOYA BEACH,4873,-16.372831,145.384849
COW BAY,4873,-16.372831,145.384849
DAGMAR,4873,-16.372831,145.384849
DAINTREE,4873,-16.372831,145.384849
DEDIN,4873,-16.372831,145.384849
DIWAN,4873,-16.372831,145.384849
FINLAY VALE,4873,-16.372831,145.384849
FOREST CREEK,4873,-16.372831,145.384849
KIMBERLEY,4873,-16.372831,145.384849
LOW ISLES,4873,-16.372831,145.384849
LOWER DAINTREE,4873,-16.372831,145.384849
MIALLO,4873,-16.372831,145.384849
MOSSMAN,4873,-16.372831,145.384849
MOSSMAN GORGE,4873,-16.372831,145.384849
NEWELL,4873,-16.372831,145.384849
NOAH,4873,-16.372831,145.384849
ROCKY POINT,4873,-16.372831,145.384849
SHANNONVALE,4873,-16.372831,145.384849
SPURGEON,4873,-16.372831,145.384849
STEWART CREEK VALLEY,4873,-16.372831,145.384849
SYNDICATE,4873,-16.372831,145.384849
THORNTON BEACH,4873,-16.372831,145.384849
UPPER DAINTREE,4873,-16.372831,145.384849
WHYANBEEL,4873,-16.372831,145.384849
WONGA,4873,-16.372831,145.384849
EVANS LANDING,4874,-12.662368,141.849076
JARDINE RIVER,4874,-12.662368,141.849076
MAPOON,4874,-12.662368,141.849076
MISSION RIVER,4874,-12.662368,141.849076
NANUM,4874,-12.662368,141.849076
NAPRANUM,4874,-12.662368,141.849076
ROCKY POINT,4874,-12.662368,141.849076
SHELBURNE,4874,-12.662368,141.849076
TRUNDING,4874,-12.662368,141.849076
WEIPA,4874,-12.662368,141.849076
WEIPA AIRPORT,4874,-12.662368,141.849076
WENLOCK,4874,-12.662368,141.849076
BADU ISLAND,4875,-10.120146,142.139423
BANKS ISLAND,4875,-10.120146,142.139423
BOIGU ISLAND,4875,-10.120146,142.139423
COCONUT ISLAND,4875,-10.120146,142.139423
DARNLEY ISLAND,4875,-10.120146,142.139423
DAUAN ISLAND,4875,-10.120146,142.139423
ERUB,4875,-10.120146,142.139423
HORN ISLAND,4875,-10.120146,142.139423
JERVIS ISLAND,4875,-10.120146,142.139423
KUBIN VILLAGE,4875,-10.120146,142.139423
MABUIAG ISLAND,4875,-10.120146,142.139423
MOA ISLAND,4875,-10.120146,142.139423
MULGRAVE ISLAND,4875,-10.120146,142.139423
MURRAY ISLAND,4875,-10.120146,142.139423
SAIBAI ISLAND,4875,-10.120146,142.139423
STEPHENS ISLAND,4875,-10.120146,142.139423
TALBOT ISLAND,4875,-10.120146,142.139423
THURSDAY ISLAND,4875,-10.120146,142.139423
WARRABER ISLAND,4875,-10.120146,142.139423
YAM ISLAND,4875,-10.120146,142.139423
YORKE ISLAND,4875,-10.120146,142.139423
BAMAGA,4876,-10.851692,142.427014
INJINOO,4876,-10.851692,142.427014
NEW MAPOON,4876,-10.851692,142.427014
SEISIA,4876,-10.851692,142.427014
UMAGICO,4876,-10.851692,142.427014
CRAIGLIE,4877,-16.535286,145.467604
KILLALOE,4877,-16.535286,145.467604
MOWBRAY,4877,-16.535286,145.467604
OAK BEACH,4877,-16.535286,145.467604
PORT DOUGLAS,4877,-16.535286,145.467604
WANGETTI,4877,-16.535286,145.467604
BARRON,4878,-16.838291,145.708683
CARAVONICA,4878,-16.838291,145.708683
HOLLOWAYS BEACH,4878,-16.838291,145.708683
MACHANS BEACH,4878,-16.838291,145.708683
SMITHFIELD,4878,-16.838291,145.708683
YORKEYS KNOB,4878,-16.838291,145.708683
CLIFTON BEACH,4879,-16.765776,145.668652
ELLIS BEACH,4879,-16.765776,145.668652
KEWARRA BEACH,4879,-16.765776,145.668652
PALM COVE,4879,-16.765776,145.668652
TRINITY BEACH,4879,-16.765776,145.668652
TRINITY PARK,4879,-16.765776,145.668652
ARRIGA,4880,-17.109908,145.301993
BIBOOHRA,4880,-17.109908,145.301993
CHEWKO,4880,-17.109908,145.301993
GLEN RUSSELL,4880,-17.109908,145.301993
MAREEBA,4880,-17.109908,145.301993
PADDYS GREEN,4880,-17.109908,145.301993
KOAH,4881,-16.824388,145.509799
KURANDA,4881,-16.824388,145.509799
MONA MONA,4881,-16.824388,145.509799
SPEEWAH,4881,-16.824388,145.509799
TOLGA,4882,-17.185835,145.463033
ATHERTON,4883,-17.268273,145.47457
CARRINGTON,4883,-17.268273,145.47457
EAST BARRON,4883,-17.268273,145.47457
UPPER BARRON,4883,-17.268273,145.47457
WONGABEL,4883,-17.268273,145.47457
GADGARRA,4884,-17.219315,145.696889
LAKE BARRINE,4884,-17.219315,145.696889
LAKE EACHAM,4884,-17.219315,145.696889
YUNGABURRA,4884,-17.219315,145.696889
BUTCHERS CREEK,4885,-17.363155,145.69377
GLEN ALLYN,4885,-17.363155,145.69377
JAGGAN,4885,-17.363155,145.69377
KUREEN,4885,-17.363155,145.69377
MALANDA,4885,-17.363155,145.69377
NORTH JOHNSTONE,4885,-17.363155,145.69377
PEERAMON,4885,-17.363155,145.69377
TARZALI,4885,-17.363155,145.69377
TOPAZ,4885,-17.363155,145.69377
BEATRICE,4886,-17.542146,145.605722
ELLINJAA,4886,-17.542146,145.605722
MAALAN,4886,-17.542146,145.605722
MIDDLEBROOK,4886,-17.542146,145.605722
MILLAA MILLAA,4886,-17.542146,145.605722
MINBUN,4886,-17.542146,145.605722
MOREGATTA,4886,-17.542146,145.605722
MUNGALLI,4886,-17.542146,145.605722
HERBERTON,4887,-17.384931,145.386636
IRVINEBANK,4887,-17.384931,145.386636
KALUNGA,4887,-17.384931,145.386636
MOOMIN,4887,-17.384931,145.386636
WATSONVILLE,4887,-17.384931,145.386636
WONDECLA,4887,-17.384931,145.386636
EVELYN,4888,-17.499336,145.491052
KABAN,4888,-17.499336,145.491052
MILLSTREAM,4888,-17.499336,145.491052
RAVENSHOE,4888,-17.499336,145.491052
TUMOULIN,4888,-17.499336,145.491052
HOWITT,4890,-17.281509,141.625841
NORMAN,4890,-17.281509,141.625841
NORMANTON,4890,-17.281509,141.625841
KARUMBA,4891,-17.483843,140.839772
AYTON,4895,-16.013552,145.263051
BLOOMFIELD,4895,-16.013552,145.263051
COOKTOWN,4895,-16.013552,145.263051
DEGARRA,4895,-16.013552,145.263051
ENDEAVOUR FALLS,4895,-16.013552,145.263051
HELENVALE,4895,-16.013552,145.263051
HOPE VALE,4895,-16.013552,145.263051
ROSSVILLE,4895,-16.013552,145.263051
STARCKE,4895,-16.013552,145.263051
WUJAL WUJAL,4895,-16.013552,145.263051
